Country,Location,Type,Lat,Lon,Temp_Min,Temp_Max,Temp_Avg,Wind_Avg,Wind_Max,Precip_Total,Cloud_Avg
Sweden,Gothenburg,major_city,57.7089,11.9746,8.5,12.8,11.3,2.5,3.5,0.0,7.2
Sweden,Jönköping,city,57.7826,14.1618,8.1,12.9,11.1,2.3,3.1,0.0,7.4
Sweden,Helsingborg,city,56.0465,12.6945,10.1,13.2,12.2,3.4,4.1,0.0,8.0
Sweden,Uppsala,city,59.8586,17.6389,5.2,13.4,9.1,2.7,3.2,0.0,1.9
Sweden,Örebro,city,59.2753,15.2134,3.8,13.3,9.5,2.1,3.5,0.0,4.9
Sweden,Stockholm,major_city,59.3293,18.0686,8.3,12.6,10.2,3.0,3.6,0.0,2.0
Sweden,Malmö,major_city,55.605,13.0038,11.0,13.6,12.6,4.4,5.6,0.1,8.0
Sweden,Västerås,city,59.6099,16.5448,5.8,14.0,9.7,2.6,3.4,0.0,1.8
Sweden,Norrköping,city,58.5877,16.1924,9.0,15.2,12.0,3.0,4.6,0.0,5.1
Sweden,Linköping,city,58.4108,15.6214,8.2,12.6,10.7,2.4,3.7,0.0,6.2
Sweden,Luleå,hydro_region,65.5848,22.1547,0.9,11.0,8.5,4.0,6.7,0.0,5.1
Sweden,Umeå,hydro_region,63.8258,20.263,3.4,12.3,8.2,3.0,3.8,0.0,1.2
Sweden,Skåne (Kristianstad),wind_region,56.0294,14.1567,9.7,14.5,12.5,3.0,3.6,0.0,8.0
Sweden,Kiruna,hydro_region,67.8558,20.2253,0.8,6.5,3.9,6.7,9.6,1.0,5.8
Sweden,Sundsvall,hydro_region,62.3908,17.3069,7.9,12.5,10.5,4.6,5.6,0.0,2.3
Sweden,Gällivare,hydro_region,67.1355,20.667,2.7,7.8,5.9,5.7,7.6,0.1,6.0
Sweden,Halland (Varberg),wind_region,57.1057,12.2508,11.0,13.1,12.2,4.3,4.9,0.0,7.9
Sweden,Gotland (Visby),wind_region,57.6348,18.2948,10.5,12.6,11.9,4.5,6.3,0.0,6.7
Sweden,Öland (Borgholm),wind_region,56.8797,16.6564,9.7,14.1,12.0,3.9,4.6,0.0,6.8
Sweden,Östersund,hydro_region,63.1792,14.6357,7.2,9.2,8.4,5.1,6.0,0.30000000000000004,6.4
Sweden,Blekinge (Karlskrona),wind_region,56.1612,15.5869,9.9,13.4,12.3,4.9,6.3,0.0,7.1
Sweden,Borlänge,industrial,60.4858,15.4371,3.6,12.5,7.6,2.5,3.6,0.0,1.3
Sweden,Sandviken,industrial,60.616,16.7709,4.8,13.3,8.7,2.8,3.7,0.0,1.1
Sweden,Trollhättan,industrial,58.2837,12.2886,7.4,12.4,10.5,1.6,2.6,0.0,7.6
Norway,Trondheim,major_city,63.4305,10.3951,8.7,11.2,10.2,5.4,8.1,5.199999999999999,7.8
Norway,Bergen,major_city,60.3913,5.3221,9.0,11.5,10.3,1.6,3.1,2.2,8.0
Norway,Stavanger,major_city,58.97,5.7331,11.0,13.0,12.0,5.0,6.7,0.1,6.1
Norway,Bodø,hydro_region,67.2804,14.4049,5.6,10.1,8.6,12.2,15.0,14.699999999999998,7.8
Norway,Ålesund,hydro_region,62.4722,6.1549,9.7,11.1,10.7,8.1,10.2,2.4,8.0
Norway,Tromsø,hydro_region,69.6492,18.9553,2.2,8.5,5.7,7.5,9.7,18.3,7.8
Norway,Kristiansand,hydro_region,58.1599,8.0182,5.4,16.6,11.5,2.9,3.8,0.0,0.0
Norway,Oslo,major_city,59.9139,10.7522,4.2,13.9,8.7,1.4,2.8,0.0,0.2
Finland,Espoo,major_city,60.2055,24.6559,3.3,9.6,8.0,2.8,3.6,0.0,7.5
Finland,Turku,major_city,60.4518,22.2666,6.3,10.9,9.1,3.1,4.3,0.0,6.9
Finland,Oulu,major_city,65.0121,25.4651,4.4,8.8,7.3,4.5,7.9,0.7000000000000001,7.4
Finland,Helsinki,major_city,60.1699,24.9384,4.4,9.8,8.4,3.9,4.8,0.0,7.4
Finland,Lapland (Rovaniemi),wind_region,66.5039,25.7294,2.0,7.5,5.7,3.9,5.9,2.5999999999999996,7.3
Finland,Loviisa,nuclear,60.3681,26.3581,5.2,8.8,7.8,4.2,5.4,0.0,7.8
Finland,Eurajoki (Olkiluoto),nuclear,61.2351,21.4845,8.4,10.4,9.6,3.7,5.3,0.0,4.1
Finland,Tampere,major_city,61.4978,23.761,4.5,9.2,7.6,3.6,4.0,0.0,7.9
Finland,Vaasa,wind_region,63.096,21.6158,6.7,10.5,9.2,4.5,8.1,0.0,2.9
Denmark,Copenhagen,major_city,55.6761,12.5683,9.5,13.5,12.2,3.3,4.0,0.0,8.0
Denmark,Esbjerg,wind_region,55.4669,8.4597,12.4,13.1,12.6,7.2,8.5,0.0,7.8
Denmark,Ringkøbing,wind_region,56.0905,8.244,12.5,13.3,12.9,9.7,11.2,0.0,7.2
Denmark,Aarhus,major_city,56.1629,10.2039,8.9,13.7,12.0,4.6,6.1,0.0,5.3
Denmark,Bornholm (Rønne),wind_region,55.1003,14.7005,11.5,13.7,12.8,6.1,7.4,0.5,5.9
Denmark,Odense,major_city,55.4038,10.4024,10.3,13.2,12.1,4.2,4.9,0.0,6.4
Denmark,Aalborg,major_city,57.0488,9.9187,6.9,14.1,11.4,3.2,4.7,0.0,1.7
