Country,Location,Type,Lat,Lon,Temp_Min,Temp_Max,Temp_Avg,Wind_Avg,Wind_Max,Precip_Total,Cloud_Avg
Sweden,Linköping,city,58.4108,15.6214,11.5,17.5,14.7,3.8,4.9,1.6000000000000005,6.9
Sweden,Malmö,major_city,55.605,13.0038,14.7,18.1,16.0,7.2,9.0,6.3999999999999995,7.8
Sweden,Örebro,city,59.2753,15.2134,12.2,17.5,14.3,3.2,3.9,2.6,7.2
Sweden,Helsingborg,city,56.0465,12.6945,13.8,17.1,15.5,8.9,11.4,7.800000000000001,7.7
Sweden,Jönköping,city,57.7826,14.1618,10.7,15.3,13.8,4.4,5.7,7.000000000000001,7.6
Sweden,Västerås,city,59.6099,16.5448,12.1,17.0,14.5,4.2,5.0,2.7000000000000006,7.2
Sweden,Norrköping,city,58.5877,16.1924,12.3,18.7,15.4,3.9,4.9,1.4000000000000001,7.0
Sweden,Stockholm,major_city,59.3293,18.0686,13.8,16.9,15.4,4.5,6.6,2.8000000000000003,6.8
Sweden,Uppsala,city,59.8586,17.6389,13.8,16.7,14.9,4.1,5.5,2.5,6.6
Sweden,Gothenburg,major_city,57.7089,11.9746,11.3,15.4,14.0,6.4,8.8,7.6000000000000005,7.3
Sweden,Luleå,hydro_region,65.5848,22.1547,11.9,13.8,13.0,7.8,10.0,22.200000000000003,7.9
Sweden,Kiruna,hydro_region,67.8558,20.2253,8.2,9.6,8.9,4.5,6.5,10.6,8.0
Sweden,Umeå,hydro_region,63.8258,20.263,12.4,14.4,13.5,6.4,8.2,18.200000000000003,8.0
Sweden,Halland (Varberg),wind_region,57.1057,12.2508,12.3,16.4,15.1,10.4,13.1,10.299999999999999,7.1
Sweden,Östersund,hydro_region,63.1792,14.6357,9.9,12.0,11.1,2.7,5.4,5.099999999999999,7.9
Sweden,Sundsvall,hydro_region,62.3908,17.3069,11.0,16.0,13.4,2.6,5.1,10.2,6.5
Sweden,Gotland (Visby),wind_region,57.6348,18.2948,14.3,17.7,16.0,6.1,7.8,1.5000000000000004,6.4
Sweden,Gällivare,hydro_region,67.1355,20.667,9.1,11.0,9.9,3.7,4.6,16.5,8.0
Sweden,Öland (Borgholm),wind_region,56.8797,16.6564,12.4,17.6,16.0,7.7,10.0,1.3000000000000003,6.4
Sweden,Skåne (Kristianstad),wind_region,56.0294,14.1567,12.0,17.2,15.1,4.9,7.2,5.4,7.2
Sweden,Blekinge (Karlskrona),wind_region,56.1612,15.5869,14.5,17.6,16.7,10.1,12.0,3.2000000000000006,6.8
Sweden,Borlänge,industrial,60.4858,15.4371,12.0,16.4,14.1,2.9,4.3,0.7,7.2
Sweden,Sandviken,industrial,60.616,16.7709,13.3,17.1,15.1,3.9,5.1,1.5000000000000002,6.4
Sweden,Trollhättan,industrial,58.2837,12.2886,9.4,14.1,12.8,3.1,4.2,9.200000000000001,7.6
Norway,Bergen,major_city,60.3913,5.3221,11.8,17.4,14.0,2.1,4.1,1.4000000000000001,7.4
Norway,Tromsø,hydro_region,69.6492,18.9553,8.2,16.7,12.8,1.7,3.1,0.0,5.1
Norway,Bodø,hydro_region,67.2804,14.4049,11.8,16.3,14.2,4.9,7.6,0.9,7.8
Norway,Oslo,major_city,59.9139,10.7522,11.6,14.5,13.1,3.5,5.3,10.7,7.8
Norway,Stavanger,major_city,58.97,5.7331,12.8,15.8,14.0,5.0,10.1,15.2,7.9
Norway,Ålesund,hydro_region,62.4722,6.1549,9.3,15.0,13.0,3.2,6.3,0.0,3.8
Norway,Kristiansand,hydro_region,58.1599,8.0182,12.4,15.8,14.1,5.2,8.7,21.800000000000008,8.0
Norway,Trondheim,major_city,63.4305,10.3951,10.7,18.9,15.2,2.1,3.1,0.0,4.6
Finland,Tampere,major_city,61.4978,23.761,12.4,14.8,13.6,5.4,7.6,5.799999999999998,7.9
Finland,Helsinki,major_city,60.1699,24.9384,13.8,15.6,14.9,8.4,9.4,6.8999999999999995,7.8
Finland,Loviisa,nuclear,60.3681,26.3581,13.7,16.1,14.8,9.4,10.8,5.999999999999999,8.0
Finland,Vaasa,wind_region,63.096,21.6158,13.2,14.7,13.9,7.4,8.7,8.8,8.0
Finland,Oulu,major_city,65.0121,25.4651,11.4,13.9,13.0,6.1,7.3,10.399999999999999,8.0
Finland,Lapland (Rovaniemi),wind_region,66.5039,25.7294,8.9,13.5,12.1,4.5,6.0,11.5,8.0
Finland,Eurajoki (Olkiluoto),nuclear,61.2351,21.4845,13.5,16.5,14.8,5.2,6.9,4.0,7.4
Finland,Espoo,major_city,60.2055,24.6559,12.5,15.4,13.9,5.3,6.6,7.5,7.9
Finland,Turku,major_city,60.4518,22.2666,14.7,16.9,15.5,5.5,8.4,4.9,7.8
Denmark,Esbjerg,wind_region,55.4669,8.4597,13.8,16.4,15.5,11.6,13.2,16.3,7.7
Denmark,Aarhus,major_city,56.1629,10.2039,13.5,17.0,15.1,6.5,8.5,13.799999999999999,7.7
Denmark,Bornholm (Rønne),wind_region,55.1003,14.7005,15.7,18.2,17.0,10.6,13.3,3.1000000000000005,6.0
Denmark,Odense,major_city,55.4038,10.4024,13.0,17.1,14.9,7.9,10.4,24.199999999999996,7.8
Denmark,Ringkøbing,wind_region,56.0905,8.244,12.7,16.2,15.0,12.2,14.6,11.500000000000002,7.6
Denmark,Copenhagen,major_city,55.6761,12.5683,14.6,17.5,16.0,7.0,8.7,7.299999999999999,7.7
Denmark,Aalborg,major_city,57.0488,9.9187,12.7,16.9,14.3,5.9,7.4,12.2,7.9
