Country,Location,Type,Lat,Lon,Temp_Min,Temp_Max,Temp_Avg,Wind_Avg,Wind_Max,Precip_Total,Cloud_Avg
Sweden,Stockholm,major_city,59.3293,18.0686,15.9,16.5,16.2,3.0,4.7,3.1,6.8
Sweden,Helsingborg,city,56.0465,12.6945,17.3,18.6,17.8,5.4,6.3,1.9000000000000001,6.7
Sweden,Gothenburg,major_city,57.7089,11.9746,17.5,20.7,18.9,6.1,6.7,1.3,6.7
Sweden,Linköping,city,58.4108,15.6214,16.2,17.0,16.6,3.8,4.9,0.0,6.8
Sweden,Jönköping,city,57.7826,14.1618,16.6,18.6,17.2,3.6,4.6,0.0,4.5
Sweden,Örebro,city,59.2753,15.2134,15.9,17.1,16.3,4.3,4.9,0.1,3.5
Sweden,Malmö,major_city,55.605,13.0038,17.9,19.2,18.4,3.6,4.2,2.9,6.7
Sweden,Norrköping,city,58.5877,16.1924,16.3,17.6,16.7,3.8,5.2,0.1,3.7
Sweden,Västerås,city,59.6099,16.5448,15.2,16.6,15.8,4.3,5.3,0.4,6.2
Sweden,Uppsala,city,59.8586,17.6389,15.3,17.1,16.0,3.8,4.3,4.3999999999999995,6.0
Sweden,Luleå,hydro_region,65.5848,22.1547,13.1,14.0,13.4,2.4,3.0,0.1,7.3
Sweden,Kiruna,hydro_region,67.8558,20.2253,10.0,13.1,11.1,4.1,4.9,0.0,2.5
Sweden,Umeå,hydro_region,63.8258,20.263,14.9,15.3,15.0,2.1,2.7,0.0,7.5
Sweden,Halland (Varberg),wind_region,57.1057,12.2508,16.4,20.6,18.5,5.9,7.4,3.1,8.0
Sweden,Gällivare,hydro_region,67.1355,20.667,12.3,13.8,13.0,2.2,2.8,0.0,5.3
Sweden,Öland (Borgholm),wind_region,56.8797,16.6564,17.8,18.5,18.0,4.8,6.7,0.0,5.8
Sweden,Gotland (Visby),wind_region,57.6348,18.2948,17.1,17.6,17.4,4.2,5.7,0.8,5.5
Sweden,Östersund,hydro_region,63.1792,14.6357,12.8,15.1,13.5,5.0,5.8,0.0,5.0
Sweden,Skåne (Kristianstad),wind_region,56.0294,14.1567,17.4,18.2,17.8,4.8,6.1,0.5,7.2
Sweden,Sundsvall,hydro_region,62.3908,17.3069,13.8,14.4,14.0,1.6,1.9,0.7,6.3
Sweden,Blekinge (Karlskrona),wind_region,56.1612,15.5869,18.3,19.4,18.9,6.4,6.8,0.0,6.7
Sweden,Borlänge,industrial,60.4858,15.4371,14.9,16.1,15.3,3.8,4.6,0.8,7.2
Sweden,Sandviken,industrial,60.616,16.7709,15.4,17.5,16.3,3.6,4.6,2.3000000000000003,7.8
Sweden,Trollhättan,industrial,58.2837,12.2886,15.6,18.8,16.7,3.6,4.3,0.0,5.3
Norway,Bodø,hydro_region,67.2804,14.4049,15.8,18.5,16.8,5.3,5.7,0.0,3.5
Norway,Oslo,major_city,59.9139,10.7522,16.9,18.4,17.4,5.0,6.0,0.0,7.8
Norway,Bergen,major_city,60.3913,5.3221,14.8,16.8,15.6,1.5,2.5,1.9,8.0
Norway,Stavanger,major_city,58.97,5.7331,15.1,15.4,15.3,2.1,3.8,8.0,8.0
Norway,Kristiansand,hydro_region,58.1599,8.0182,15.5,16.5,16.0,4.9,9.3,15.899999999999997,8.0
Norway,Trondheim,major_city,63.4305,10.3951,15.8,19.9,17.7,3.6,4.7,0.0,0.0
Norway,Ålesund,hydro_region,62.4722,6.1549,15.6,19.2,16.9,5.0,5.6,0.0,3.8
Norway,Tromsø,hydro_region,69.6492,18.9553,9.8,12.1,10.7,0.7,1.0,0.0,0.0
Finland,Turku,major_city,60.4518,22.2666,17.4,18.8,17.8,4.9,5.4,0.0,3.2
Finland,Helsinki,major_city,60.1699,24.9384,18.1,18.8,18.6,5.6,6.2,0.0,0.0
Finland,Vaasa,wind_region,63.096,21.6158,15.9,19.3,17.6,3.4,3.9,0.0,5.0
Finland,Loviisa,nuclear,60.3681,26.3581,18.4,18.9,18.8,5.6,6.3,0.0,0.0
Finland,Oulu,major_city,65.0121,25.4651,15.0,18.2,16.6,3.0,3.2,0.0,1.5
Finland,Tampere,major_city,61.4978,23.761,15.5,18.5,16.9,3.9,4.2,0.1,0.2
Finland,Eurajoki (Olkiluoto),nuclear,61.2351,21.4845,15.9,17.8,16.5,3.1,3.9,0.0,1.2
Finland,Espoo,major_city,60.2055,24.6559,17.2,18.0,17.6,3.8,4.3,0.0,0.2
Finland,Lapland (Rovaniemi),wind_region,66.5039,25.7294,12.6,14.5,13.2,1.0,1.7,0.0,4.5
Denmark,Ringkøbing,wind_region,56.0905,8.244,14.8,16.4,15.9,5.2,6.2,0.0,6.0
Denmark,Odense,major_city,55.4038,10.4024,15.7,17.7,16.6,2.5,3.0,1.9000000000000001,7.7
Denmark,Aalborg,major_city,57.0488,9.9187,15.8,16.5,16.1,3.9,5.5,2.3,8.0
Denmark,Esbjerg,wind_region,55.4669,8.4597,15.0,16.3,15.8,3.3,4.0,0.0,4.5
Denmark,Copenhagen,major_city,55.6761,12.5683,18.0,18.8,18.3,2.9,4.5,1.2,7.2
Denmark,Aarhus,major_city,56.1629,10.2039,15.9,17.3,16.6,2.6,3.7,2.3,8.0
Denmark,Bornholm (Rønne),wind_region,55.1003,14.7005,19.5,20.2,19.9,6.9,7.5,0.1,7.2
