Country,Location,Type,Lat,Lon,Temp_Min,Temp_Max,Temp_Avg,Wind_Avg,Wind_Max,Precip_Total,Cloud_Avg
Sweden,Västerås,city,59.6099,16.5448,-6.7,-6.4,-6.5,3.7,4.3,0.0,8.0
Sweden,Helsingborg,city,56.0465,12.6945,-4.5,-4.0,-4.3,7.4,8.5,0.0,8.0
Sweden,Norrköping,city,58.5877,16.1924,-5.8,-5.1,-5.5,5.5,5.7,0.0,8.0
Sweden,Linköping,city,58.4108,15.6214,-5.8,-4.8,-5.2,5.1,5.8,0.0,8.0
Sweden,Stockholm,major_city,59.3293,18.0686,-6.0,-5.8,-5.9,3.9,4.1,0.0,8.0
Sweden,Gothenburg,major_city,57.7089,11.9746,-5.4,-4.7,-5.1,5.5,5.8,0.0,2.0
Sweden,Uppsala,city,59.8586,17.6389,-6.2,-4.9,-5.6,2.6,2.9,0.0,8.0
Sweden,Jönköping,city,57.7826,14.1618,-5.7,-5.1,-5.5,4.2,4.6,0.0,7.8
Sweden,Malmö,major_city,55.605,13.0038,-2.4,-2.1,-2.2,9.0,9.6,0.0,8.0
Sweden,Örebro,city,59.2753,15.2134,-6.8,-6.3,-6.5,5.0,5.3,0.0,8.0
Sweden,Luleå,hydro_region,65.5848,22.1547,-23.5,-21.7,-22.7,1.3,1.7,0.0,1.4
Sweden,Kiruna,hydro_region,67.8558,20.2253,-15.1,-13.7,-14.3,3.3,3.5,0.0,4.6
Sweden,Östersund,hydro_region,63.1792,14.6357,-21.7,-20.6,-21.3,3.0,3.2,0.0,0.0
Sweden,Sundsvall,hydro_region,62.3908,17.3069,-19.8,-19.1,-19.5,2.4,2.6,0.0,0.4
Sweden,Umeå,hydro_region,63.8258,20.263,-23.4,-22.2,-22.9,1.7,1.9,0.0,0.0
Sweden,Gällivare,hydro_region,67.1355,20.667,-18.5,-16.7,-17.7,3.2,3.5,0.0,1.6
Sweden,Halland (Varberg),wind_region,57.1057,12.2508,-4.8,-4.2,-4.5,7.1,7.6,0.0,4.4
Sweden,Skåne (Kristianstad),wind_region,56.0294,14.1567,-4.3,-3.9,-4.1,7.6,8.0,0.0,8.0
Sweden,Gotland (Visby),wind_region,57.6348,18.2948,-5.5,-5.0,-5.2,4.9,5.7,0.0,8.0
Sweden,Öland (Borgholm),wind_region,56.8797,16.6564,-4.0,-4.0,-4.0,8.8,9.1,0.0,8.0
Sweden,Borlänge,industrial,60.4858,15.4371,-11.1,-10.9,-11.0,1.3,1.8,0.0,8.0
Sweden,Blekinge (Karlskrona),wind_region,56.1612,15.5869,-3.7,-3.6,-3.7,9.9,10.3,0.0,8.0
Sweden,Sandviken,industrial,60.616,16.7709,-9.1,-8.9,-9.0,3.3,3.7,0.0,8.0
Sweden,Trollhättan,industrial,58.2837,12.2886,-5.2,-4.8,-5.0,5.6,6.0,0.0,3.4
Norway,Bergen,major_city,60.3913,5.3221,-2.6,-1.3,-1.9,0.9,1.6,0.0,7.0
Norway,Oslo,major_city,59.9139,10.7522,-8.2,-6.8,-7.5,5.5,5.7,0.0,8.0
Norway,Tromsø,hydro_region,69.6492,18.9553,0.3,0.4,0.4,3.0,4.8,1.7,8.0
Norway,Kristiansand,hydro_region,58.1599,8.0182,-2.9,-2.5,-2.7,8.5,8.7,0.6000000000000001,8.0
Norway,Bodø,hydro_region,67.2804,14.4049,-7.7,-7.6,-7.6,3.7,3.7,0.0,0.6
Norway,Stavanger,major_city,58.97,5.7331,-1.7,-1.6,-1.6,6.5,7.0,0.0,4.0
Norway,Trondheim,major_city,63.4305,10.3951,-10.3,-8.5,-9.5,1.9,2.0,0.0,0.0
Norway,Ålesund,hydro_region,62.4722,6.1549,-1.1,-0.7,-0.9,2.7,3.2,0.0,8.0
Finland,Loviisa,nuclear,60.3681,26.3581,-12.7,-12.4,-12.6,1.7,1.9,0.0,7.8
Finland,Tampere,major_city,61.4978,23.761,-20.7,-19.7,-20.4,0.8,0.9,0.0,5.6
Finland,Turku,major_city,60.4518,22.2666,-16.7,-15.5,-16.3,2.7,2.9,0.0,3.2
Finland,Oulu,major_city,65.0121,25.4651,-19.2,-18.8,-19.0,2.6,3.2,0.0,6.4
Finland,Lapland (Rovaniemi),wind_region,66.5039,25.7294,-19.7,-18.1,-19.0,2.7,2.9,0.0,3.4
Finland,Helsinki,major_city,60.1699,24.9384,-11.4,-10.8,-11.1,2.5,2.7,0.0,8.0
Finland,Espoo,major_city,60.2055,24.6559,-12.5,-11.9,-12.1,1.4,1.6,0.0,8.0
Finland,Eurajoki (Olkiluoto),nuclear,61.2351,21.4845,-14.2,-12.0,-13.3,2.2,3.0,0.0,2.6
Finland,Vaasa,wind_region,63.096,21.6158,-16.6,-15.0,-15.7,1.8,1.9,0.0,4.2
Denmark,Esbjerg,wind_region,55.4669,8.4597,-1.5,-1.0,-1.3,11.0,11.4,0.0,8.0
Denmark,Aarhus,major_city,56.1629,10.2039,-1.7,-1.4,-1.6,9.1,9.6,0.0,8.0
Denmark,Odense,major_city,55.4038,10.4024,-1.8,-1.2,-1.6,8.7,9.0,0.0,8.0
Denmark,Bornholm (Rønne),wind_region,55.1003,14.7005,-1.9,-1.3,-1.6,8.6,9.4,0.0,8.0
Denmark,Ringkøbing,wind_region,56.0905,8.244,-2.2,-1.3,-1.7,10.5,11.0,0.0,8.0
Denmark,Aalborg,major_city,57.0488,9.9187,-3.2,-2.5,-2.9,7.2,7.6,0.0,8.0
Denmark,Copenhagen,major_city,55.6761,12.5683,-2.4,-2.1,-2.2,8.9,9.2,0.0,8.0
