Country,Location,Type,Lat,Lon,Temp_Min,Temp_Max,Temp_Avg,Wind_Avg,Wind_Max,Precip_Total,Cloud_Avg
Sweden,Stockholm,major_city,59.3293,18.0686,16.1,19.6,17.3,3.4,4.4,0.0,5.8
Sweden,Norrköping,city,58.5877,16.1924,15.2,21.1,17.7,2.8,4.1,0.0,3.3
Sweden,Örebro,city,59.2753,15.2134,14.3,18.9,16.2,2.7,3.8,0.0,5.0
Sweden,Västerås,city,59.6099,16.5448,15.0,19.4,16.8,3.0,4.7,0.0,5.2
Sweden,Gothenburg,major_city,57.7089,11.9746,15.8,19.0,17.1,5.1,6.4,1.2999999999999998,6.7
Sweden,Uppsala,city,59.8586,17.6389,14.7,19.4,16.5,2.8,3.9,0.0,5.2
Sweden,Malmö,major_city,55.605,13.0038,18.3,20.6,19.2,3.5,5.1,0.3,5.8
Sweden,Linköping,city,58.4108,15.6214,12.8,19.5,15.7,2.9,3.9,0.0,3.0
Sweden,Helsingborg,city,56.0465,12.6945,17.4,19.3,18.5,4.0,5.4,1.0,5.7
Sweden,Jönköping,city,57.7826,14.1618,13.8,19.2,15.9,3.1,4.0,0.0,3.2
Sweden,Luleå,hydro_region,65.5848,22.1547,15.5,17.7,16.2,4.1,4.5,0.0,0.8
Sweden,Kiruna,hydro_region,67.8558,20.2253,10.8,15.8,12.6,3.2,3.6,0.0,3.2
Sweden,Östersund,hydro_region,63.1792,14.6357,14.1,18.5,16.0,4.4,5.2,0.0,6.5
Sweden,Gotland (Visby),wind_region,57.6348,18.2948,16.1,18.3,16.9,4.5,5.6,0.0,5.0
Sweden,Umeå,hydro_region,63.8258,20.263,15.1,17.4,15.8,2.8,3.7,0.0,3.5
Sweden,Sundsvall,hydro_region,62.3908,17.3069,15.5,19.9,17.4,3.1,4.1,0.0,7.0
Sweden,Gällivare,hydro_region,67.1355,20.667,11.6,16.1,13.0,1.4,1.6,0.30000000000000004,4.8
Sweden,Öland (Borgholm),wind_region,56.8797,16.6564,16.8,19.7,18.2,4.9,7.7,0.0,3.5
Sweden,Halland (Varberg),wind_region,57.1057,12.2508,17.8,18.7,18.2,6.5,8.2,0.5,5.8
Sweden,Skåne (Kristianstad),wind_region,56.0294,14.1567,14.8,20.9,17.2,2.4,3.6,0.1,4.5
Sweden,Blekinge (Karlskrona),wind_region,56.1612,15.5869,17.0,18.7,18.0,4.8,7.6,0.0,3.8
Sweden,Borlänge,industrial,60.4858,15.4371,13.9,18.4,15.7,3.0,4.4,0.0,5.7
Sweden,Trollhättan,industrial,58.2837,12.2886,14.3,18.5,16.0,3.5,4.1,2.6,6.7
Sweden,Sandviken,industrial,60.616,16.7709,15.2,19.4,17.0,4.5,5.5,0.0,6.3
Norway,Kristiansand,hydro_region,58.1599,8.0182,12.7,16.0,14.5,3.8,5.7,0.0,2.3
Norway,Bodø,hydro_region,67.2804,14.4049,16.1,16.9,16.5,5.1,7.8,0.0,5.8
Norway,Oslo,major_city,59.9139,10.7522,14.2,16.0,15.1,5.1,6.3,2.0,3.5
Norway,Ålesund,hydro_region,62.4722,6.1549,13.5,16.2,14.8,6.8,7.3,1.8,5.7
Norway,Stavanger,major_city,58.97,5.7331,13.9,15.1,14.4,4.1,5.8,0.0,6.3
Norway,Tromsø,hydro_region,69.6492,18.9553,11.5,16.7,13.8,1.5,2.3,0.0,1.0
Norway,Bergen,major_city,60.3913,5.3221,12.9,13.8,13.2,6.5,6.8,1.1,8.0
Finland,Turku,major_city,60.4518,22.2666,15.6,18.1,16.3,3.3,3.7,0.0,3.8
Finland,Helsinki,major_city,60.1699,24.9384,16.4,18.6,17.1,5.0,5.6,0.0,1.3
Finland,Vaasa,wind_region,63.096,21.6158,14.5,18.7,16.2,3.8,4.2,0.0,2.2
Finland,Lapland (Rovaniemi),wind_region,66.5039,25.7294,12.4,19.2,15.0,1.4,2.2,0.0,2.8
Finland,Loviisa,nuclear,60.3681,26.3581,16.8,19.8,18.2,5.8,6.4,0.0,1.7
Finland,Oulu,major_city,65.0121,25.4651,15.3,19.2,17.0,2.1,3.1,0.0,3.7
Finland,Espoo,major_city,60.2055,24.6559,12.3,17.2,14.2,2.3,3.2,0.0,1.0
Finland,Tampere,major_city,61.4978,23.761,13.9,19.5,16.1,3.3,3.6,0.0,1.2
Finland,Eurajoki (Olkiluoto),nuclear,61.2351,21.4845,16.2,18.2,16.8,2.6,2.8,0.0,5.0
Denmark,Copenhagen,major_city,55.6761,12.5683,18.1,20.1,18.8,3.1,3.7,0.5,5.5
Denmark,Odense,major_city,55.4038,10.4024,15.2,21.5,18.1,4.0,4.5,0.0,1.8
Denmark,Aarhus,major_city,56.1629,10.2039,15.1,21.4,17.9,4.3,4.9,0.0,2.5
Denmark,Bornholm (Rønne),wind_region,55.1003,14.7005,18.3,19.7,19.0,2.8,3.9,2.1,6.8
Denmark,Esbjerg,wind_region,55.4669,8.4597,17.0,19.1,17.6,6.8,8.0,0.0,3.0
Denmark,Aalborg,major_city,57.0488,9.9187,15.1,18.6,16.3,4.9,5.6,0.1,5.3
Denmark,Ringkøbing,wind_region,56.0905,8.244,16.4,17.5,16.7,8.2,9.0,0.0,2.8
