Country,Location,Type,Lat,Lon,Temp_Min,Temp_Max,Temp_Avg,Wind_Avg,Wind_Max,Precip_Total,Cloud_Avg
Sweden,Jönköping,city,57.7826,14.1618,-0.8,2.0,0.9,3.4,6.0,5.299999999999998,7.8
Sweden,Norrköping,city,58.5877,16.1924,-2.3,1.6,0.2,3.0,4.6,4.3,8.0
Sweden,Gothenburg,major_city,57.7089,11.9746,-1.2,4.9,2.3,3.7,8.2,3.1000000000000005,7.4
Sweden,Västerås,city,59.6099,16.5448,-1.5,0.3,-0.1,4.6,8.7,11.399999999999997,8.0
Sweden,Uppsala,city,59.8586,17.6389,-2.4,0.5,-0.2,6.2,9.8,9.299999999999999,8.0
Sweden,Helsingborg,city,56.0465,12.6945,3.0,4.5,3.9,8.7,10.6,5.6,7.8
Sweden,Linköping,city,58.4108,15.6214,-1.8,1.5,0.3,3.8,6.3,2.6000000000000005,8.0
Sweden,Stockholm,major_city,59.3293,18.0686,-0.8,0.8,0.3,4.4,9.5,8.799999999999997,8.0
Sweden,Örebro,city,59.2753,15.2134,-2.4,1.2,-0.3,2.2,3.8,5.000000000000001,8.0
Sweden,Malmö,major_city,55.605,13.0038,3.9,4.7,4.3,9.3,11.2,2.900000000000001,7.9
Sweden,Luleå,hydro_region,65.5848,22.1547,-24.3,-21.0,-22.9,3.8,4.6,0.0,7.3
Sweden,Kiruna,hydro_region,67.8558,20.2253,-24.1,-21.4,-22.7,2.0,2.9,0.4,4.0
Sweden,Umeå,hydro_region,63.8258,20.263,-11.5,-7.2,-9.4,4.8,5.8,0.6,8.0
Sweden,Gotland (Visby),wind_region,57.6348,18.2948,-1.4,3.2,1.7,6.6,10.2,11.499999999999998,8.0
Sweden,Östersund,hydro_region,63.1792,14.6357,-8.7,-4.0,-5.8,5.7,7.3,5.599999999999999,8.0
Sweden,Sundsvall,hydro_region,62.3908,17.3069,-4.4,-1.1,-2.3,9.3,11.9,7.200000000000001,8.0
Sweden,Gällivare,hydro_region,67.1355,20.667,-24.4,-20.3,-22.6,1.6,2.4,0.2,6.9
Sweden,Öland (Borgholm),wind_region,56.8797,16.6564,1.0,3.1,2.4,9.1,11.5,1.9000000000000006,7.7
Sweden,Skåne (Kristianstad),wind_region,56.0294,14.1567,2.1,3.9,3.1,6.9,8.1,4.4,7.7
Sweden,Halland (Varberg),wind_region,57.1057,12.2508,1.2,5.4,4.0,8.6,14.2,5.400000000000001,7.4
Sweden,Blekinge (Karlskrona),wind_region,56.1612,15.5869,3.0,4.3,3.9,11.6,15.0,2.700000000000001,8.0
Sweden,Borlänge,industrial,60.4858,15.4371,-4.6,-0.6,-1.7,5.1,7.0,14.200000000000001,8.0
Sweden,Sandviken,industrial,60.616,16.7709,-3.5,-0.1,-1.1,7.8,9.9,15.3,8.0
Sweden,Trollhättan,industrial,58.2837,12.2886,-1.7,3.5,0.5,2.4,4.8,1.2,7.9
Norway,Bergen,major_city,60.3913,5.3221,-0.7,2.0,0.8,5.7,9.0,4.1,4.7
Norway,Stavanger,major_city,58.97,5.7331,1.9,5.4,3.2,6.3,10.7,6.299999999999999,5.7
Norway,Oslo,major_city,59.9139,10.7522,-2.1,0.5,-0.7,3.0,8.1,0.4,8.0
Norway,Ålesund,hydro_region,62.4722,6.1549,-0.0,2.6,1.4,9.5,16.2,4.800000000000001,7.6
Norway,Trondheim,major_city,63.4305,10.3951,-5.0,-0.7,-2.9,5.9,8.0,2.6,8.0
Norway,Kristiansand,hydro_region,58.1599,8.0182,-1.0,2.7,0.9,2.6,5.0,1.2000000000000002,4.8
Norway,Tromsø,hydro_region,69.6492,18.9553,-16.8,-11.3,-15.7,2.7,5.7,0.1,2.2
Norway,Bodø,hydro_region,67.2804,14.4049,-8.9,-7.5,-8.1,7.6,9.3,0.0,3.2
Finland,Tampere,major_city,61.4978,23.761,-13.8,-10.0,-11.7,4.8,7.6,0.0,7.6
Finland,Oulu,major_city,65.0121,25.4651,-20.0,-17.4,-19.0,1.9,2.8,0.0,6.2
Finland,Helsinki,major_city,60.1699,24.9384,-13.1,-3.2,-5.7,7.8,11.2,0.30000000000000004,8.0
Finland,Vaasa,wind_region,63.096,21.6158,-13.1,-10.9,-12.2,5.0,5.4,0.0,7.3
Finland,Espoo,major_city,60.2055,24.6559,-16.1,-3.5,-7.0,5.7,8.5,0.5,8.0
Finland,Loviisa,nuclear,60.3681,26.3581,-12.2,-3.9,-6.8,5.5,8.9,0.0,7.4
Finland,Turku,major_city,60.4518,22.2666,-10.5,-4.5,-6.2,7.5,9.2,1.4,8.0
Finland,Lapland (Rovaniemi),wind_region,66.5039,25.7294,-22.2,-19.3,-20.6,0.9,1.5,0.8999999999999999,8.0
Finland,Eurajoki (Olkiluoto),nuclear,61.2351,21.4845,-9.2,-6.3,-7.7,7.2,8.4,0.4,8.0
Denmark,Copenhagen,major_city,55.6761,12.5683,3.4,4.7,4.1,7.1,8.9,3.5000000000000013,7.7
Denmark,Aarhus,major_city,56.1629,10.2039,2.3,4.2,3.5,6.2,7.9,5.8,6.7
Denmark,Esbjerg,wind_region,55.4669,8.4597,4.0,5.9,5.1,12.0,17.1,6.2,7.7
Denmark,Aalborg,major_city,57.0488,9.9187,-0.0,4.1,2.6,6.0,8.6,4.800000000000002,6.7
Denmark,Ringkøbing,wind_region,56.0905,8.244,4.2,5.7,5.1,12.7,17.8,6.7,7.7
Denmark,Odense,major_city,55.4038,10.4024,2.6,5.1,4.1,7.6,10.4,6.199999999999999,7.5
Denmark,Bornholm (Rønne),wind_region,55.1003,14.7005,4.3,5.3,4.8,15.3,17.1,4.3,8.0
