Country,Location,Type,Lat,Lon,Temp_Min,Temp_Max,Temp_Avg,Wind_Avg,Wind_Max,Precip_Total,Cloud_Avg
Sweden,Jönköping,city,57.7826,14.1618,-6.8,-1.0,-2.4,5.2,7.2,1.7,8.0
Sweden,Västerås,city,59.6099,16.5448,-8.0,-2.3,-5.4,3.0,4.5,1.7000000000000004,7.8
Sweden,Gothenburg,major_city,57.7089,11.9746,-4.2,0.3,-1.1,5.8,8.1,10.299999999999999,8.0
Sweden,Malmö,major_city,55.605,13.0038,-1.5,0.7,-0.2,5.8,7.0,0.0,8.0
Sweden,Helsingborg,city,56.0465,12.6945,-0.1,1.1,0.5,9.2,10.6,0.1,8.0
Sweden,Uppsala,city,59.8586,17.6389,-6.7,-1.1,-4.8,3.0,4.2,1.7000000000000002,7.6
Sweden,Örebro,city,59.2753,15.2134,-8.1,-1.7,-4.6,2.6,4.2,2.6000000000000005,7.9
Sweden,Norrköping,city,58.5877,16.1924,-7.2,-1.4,-4.0,3.0,4.9,0.6,7.8
Sweden,Linköping,city,58.4108,15.6214,-8.6,-1.4,-4.2,4.0,5.1,0.9,7.9
Sweden,Stockholm,major_city,59.3293,18.0686,-5.5,0.0,-3.2,2.6,5.2,2.8,7.3
Sweden,Luleå,hydro_region,65.5848,22.1547,-29.9,-27.6,-28.6,2.9,3.3,0.0,5.4
Sweden,Kiruna,hydro_region,67.8558,20.2253,-28.5,-25.4,-27.4,2.0,3.3,0.0,3.4
Sweden,Umeå,hydro_region,63.8258,20.263,-13.9,-10.6,-12.3,4.1,5.2,1.2000000000000002,7.2
Sweden,Östersund,hydro_region,63.1792,14.6357,-14.7,-11.1,-12.8,3.0,3.9,3.1,8.0
Sweden,Sundsvall,hydro_region,62.3908,17.3069,-4.6,-1.7,-2.9,7.1,10.3,10.9,8.0
Sweden,Halland (Varberg),wind_region,57.1057,12.2508,-0.3,1.0,0.5,10.0,12.5,6.1000000000000005,8.0
Sweden,Gällivare,hydro_region,67.1355,20.667,-30.1,-28.0,-29.6,1.5,2.0,0.0,4.0
Sweden,Skåne (Kristianstad),wind_region,56.0294,14.1567,-3.9,-0.3,-1.9,4.2,5.1,0.0,7.8
Sweden,Öland (Borgholm),wind_region,56.8797,16.6564,-6.0,1.0,-0.7,5.0,7.6,0.4,7.3
Sweden,Gotland (Visby),wind_region,57.6348,18.2948,-6.4,-2.3,-3.6,4.0,5.2,0.4,5.7
Sweden,Blekinge (Karlskrona),wind_region,56.1612,15.5869,-2.8,1.3,0.4,7.7,9.3,0.4,7.7
Sweden,Borlänge,industrial,60.4858,15.4371,-12.8,-5.9,-9.6,1.8,3.1,2.5,7.8
Sweden,Sandviken,industrial,60.616,16.7709,-8.0,-3.3,-6.3,2.4,3.6,1.8,8.0
Sweden,Trollhättan,industrial,58.2837,12.2886,-6.2,-0.8,-3.8,3.4,6.5,10.799999999999999,8.0
Norway,Trondheim,major_city,63.4305,10.3951,-11.4,-7.0,-8.3,4.0,5.9,0.4,6.6
Norway,Tromsø,hydro_region,69.6492,18.9553,-13.7,-12.5,-13.3,1.6,3.0,0.0,1.0
Norway,Oslo,major_city,59.9139,10.7522,-11.9,-7.4,-9.4,2.4,4.5,3.2,6.2
Norway,Bodø,hydro_region,67.2804,14.4049,-9.1,-8.4,-8.8,9.6,11.2,0.0,1.8
Norway,Kristiansand,hydro_region,58.1599,8.0182,-7.7,-6.0,-6.9,6.5,7.0,7.5,7.7
Norway,Stavanger,major_city,58.97,5.7331,-4.5,-1.4,-2.7,3.7,6.3,0.0,5.0
Norway,Ålesund,hydro_region,62.4722,6.1549,-5.5,-3.2,-4.0,5.0,6.3,0.0,0.1
Norway,Bergen,major_city,60.3913,5.3221,-9.4,-5.0,-7.4,2.3,3.5,0.0,0.0
Finland,Espoo,major_city,60.2055,24.6559,-13.7,-4.4,-9.1,3.1,4.6,0.9,5.8
Finland,Helsinki,major_city,60.1699,24.9384,-10.7,-3.5,-7.4,4.3,5.6,0.9,5.7
Finland,Loviisa,nuclear,60.3681,26.3581,-11.2,-4.9,-8.1,4.1,6.6,0.5,4.5
Finland,Tampere,major_city,61.4978,23.761,-11.7,-8.3,-9.8,3.3,4.5,0.1,3.7
Finland,Oulu,major_city,65.0121,25.4651,-18.2,-17.5,-17.8,3.4,4.0,0.0,6.4
Finland,Eurajoki (Olkiluoto),nuclear,61.2351,21.4845,-10.1,-6.5,-7.8,4.5,5.3,0.0,5.6
Finland,Vaasa,wind_region,63.096,21.6158,-14.2,-10.0,-11.3,5.0,6.0,0.0,4.7
Finland,Turku,major_city,60.4518,22.2666,-9.6,-5.0,-6.9,4.4,5.0,0.0,6.1
Finland,Lapland (Rovaniemi),wind_region,66.5039,25.7294,-29.3,-26.4,-28.1,1.2,1.6,0.0,5.6
Denmark,Copenhagen,major_city,55.6761,12.5683,-0.7,0.8,0.3,6.4,7.4,0.0,8.0
Denmark,Ringkøbing,wind_region,56.0905,8.244,-0.3,1.2,0.6,11.7,13.7,6.4,8.0
Denmark,Aalborg,major_city,57.0488,9.9187,-1.1,-0.3,-0.8,5.1,7.8,6.800000000000001,8.0
Denmark,Esbjerg,wind_region,55.4669,8.4597,-0.5,1.2,0.4,10.5,12.2,7.3,8.0
Denmark,Odense,major_city,55.4038,10.4024,-1.7,-0.4,-0.8,6.5,7.3,1.4,8.0
Denmark,Aarhus,major_city,56.1629,10.2039,-0.9,0.4,-0.1,6.2,7.2,2.400000000000001,8.0
Denmark,Bornholm (Rønne),wind_region,55.1003,14.7005,-0.7,0.8,0.3,8.9,10.1,0.1,6.6
