Country,Location,Type,Lat,Lon,Temp_Min,Temp_Max,Temp_Avg,Wind_Avg,Wind_Max,Precip_Total,Cloud_Avg
Sweden,Västerås,city,59.6099,16.5448,-6.6,-1.5,-3.4,5.1,8.8,0.0,1.6
Sweden,Norrköping,city,58.5877,16.1924,-5.1,-0.9,-2.6,5.6,8.5,0.0,1.2
Sweden,Stockholm,major_city,59.3293,18.0686,-5.5,-1.0,-2.7,6.6,10.1,0.2,5.3
Sweden,Jönköping,city,57.7826,14.1618,-5.0,-0.4,-2.2,4.7,6.8,0.0,0.8
Sweden,Helsingborg,city,56.0465,12.6945,-0.8,1.3,0.5,5.2,7.4,0.0,1.1
Sweden,Malmö,major_city,55.605,13.0038,0.1,1.2,0.7,6.7,9.1,0.0,1.0
Sweden,Linköping,city,58.4108,15.6214,-5.1,-1.2,-2.9,4.8,7.3,0.0,1.2
Sweden,Örebro,city,59.2753,15.2134,-6.0,-0.7,-2.9,3.8,6.1,0.0,2.2
Sweden,Uppsala,city,59.8586,17.6389,-6.9,-1.9,-3.8,5.8,9.9,0.0,3.7
Sweden,Gothenburg,major_city,57.7089,11.9746,-3.3,0.2,-1.3,3.1,5.3,0.0,2.4
Sweden,Luleå,hydro_region,65.5848,22.1547,-18.6,-9.9,-13.7,3.7,5.0,0.0,2.4
Sweden,Kiruna,hydro_region,67.8558,20.2253,-19.5,-11.4,-15.0,1.8,4.3,0.5,5.4
Sweden,Östersund,hydro_region,63.1792,14.6357,-6.4,-4.1,-5.0,2.7,4.3,5.0,7.6
Sweden,Umeå,hydro_region,63.8258,20.263,-14.0,-5.6,-9.9,2.8,5.3,0.1,3.2
Sweden,Öland (Borgholm),wind_region,56.8797,16.6564,-1.4,0.3,-0.4,12.2,13.2,0.0,0.3
Sweden,Gällivare,hydro_region,67.1355,20.667,-17.1,-11.7,-14.3,2.3,3.4,0.0,4.7
Sweden,Skåne (Kristianstad),wind_region,56.0294,14.1567,-4.7,-0.1,-2.5,4.9,7.5,0.0,1.0
Sweden,Sundsvall,hydro_region,62.3908,17.3069,-5.8,-3.8,-4.8,3.5,5.9,0.5,4.7
Sweden,Gotland (Visby),wind_region,57.6348,18.2948,-0.2,0.6,0.2,14.5,17.0,0.0,5.7
Sweden,Halland (Varberg),wind_region,57.1057,12.2508,-1.0,0.4,-0.3,5.0,7.4,0.0,1.3
Sweden,Blekinge (Karlskrona),wind_region,56.1612,15.5869,-2.4,0.7,-0.7,8.9,10.6,0.0,0.6
Sweden,Borlänge,industrial,60.4858,15.4371,-4.6,-1.8,-3.2,4.5,6.0,0.30000000000000004,3.1
Sweden,Sandviken,industrial,60.616,16.7709,-6.9,-2.0,-4.1,4.2,7.2,0.1,2.4
Sweden,Trollhättan,industrial,58.2837,12.2886,-4.6,-0.8,-2.3,3.6,5.5,0.0,3.5
Norway,Oslo,major_city,59.9139,10.7522,-4.2,-1.2,-3.1,1.7,3.0,0.0,5.4
Norway,Stavanger,major_city,58.97,5.7331,1.3,2.4,1.8,3.0,5.4,3.5999999999999996,6.4
Norway,Tromsø,hydro_region,69.6492,18.9553,-8.7,-5.4,-6.8,2.0,3.1,3.9000000000000017,7.8
Norway,Kristiansand,hydro_region,58.1599,8.0182,-0.3,1.6,0.8,3.4,4.2,0.0,3.9
Norway,Trondheim,major_city,63.4305,10.3951,-0.8,3.6,0.6,4.7,8.3,5.8999999999999995,8.0
Norway,Bergen,major_city,60.3913,5.3221,-1.1,1.3,0.3,1.6,3.0,4.3999999999999995,7.2
Norway,Ålesund,hydro_region,62.4722,6.1549,1.2,5.4,3.2,5.5,7.9,3.8000000000000003,8.0
Norway,Bodø,hydro_region,67.2804,14.4049,-4.9,-1.4,-2.5,3.2,5.5,4.900000000000001,6.6
Finland,Vaasa,wind_region,63.096,21.6158,-6.5,-1.5,-3.6,5.6,10.3,0.6,2.9
Finland,Oulu,major_city,65.0121,25.4651,-15.2,-7.2,-11.3,3.7,5.9,0.0,0.3
Finland,Loviisa,nuclear,60.3681,26.3581,-7.8,-3.2,-4.9,8.0,8.9,0.5,6.4
Finland,Helsinki,major_city,60.1699,24.9384,-8.1,-2.7,-4.8,8.1,8.8,0.7999999999999999,4.9
Finland,Eurajoki (Olkiluoto),nuclear,61.2351,21.4845,-5.8,-1.4,-3.2,5.8,8.9,0.0,1.4
Finland,Lapland (Rovaniemi),wind_region,66.5039,25.7294,-23.2,-10.6,-17.8,2.0,4.5,0.0,0.4
Finland,Espoo,major_city,60.2055,24.6559,-8.6,-3.1,-5.4,6.8,7.7,1.6000000000000003,4.6
Finland,Turku,major_city,60.4518,22.2666,-6.9,-2.0,-3.8,7.3,9.5,0.0,2.4
Finland,Tampere,major_city,61.4978,23.761,-7.9,-3.6,-5.5,7.9,10.1,0.0,2.5
Denmark,Copenhagen,major_city,55.6761,12.5683,-0.9,2.0,0.9,4.0,6.3,0.0,0.9
Denmark,Ringkøbing,wind_region,56.0905,8.244,1.2,4.4,2.4,3.6,6.1,0.30000000000000004,3.1
Denmark,Odense,major_city,55.4038,10.4024,-2.0,2.5,0.2,4.0,6.1,0.0,0.9
Denmark,Aalborg,major_city,57.0488,9.9187,-1.0,2.4,0.4,3.2,4.5,0.0,3.2
Denmark,Esbjerg,wind_region,55.4669,8.4597,-1.4,3.0,0.8,3.3,4.3,0.1,2.6
Denmark,Bornholm (Rønne),wind_region,55.1003,14.7005,0.8,1.9,1.3,11.7,12.9,0.0,1.8
Denmark,Aarhus,major_city,56.1629,10.2039,-2.4,1.8,-0.6,3.5,5.3,0.0,1.6
