Country,Location,Type,Lat,Lon,Temp_Min,Temp_Max,Temp_Avg,Wind_Avg,Wind_Max,Precip_Total,Cloud_Avg
Sweden,Norrköping,city,58.5877,16.1924,4.2,5.9,5.1,6.6,9.4,0.1,3.0
Sweden,Gothenburg,major_city,57.7089,11.9746,3.6,4.4,4.1,5.5,8.9,0.6,5.4
Sweden,Malmö,major_city,55.605,13.0038,4.2,6.0,5.0,7.8,9.9,0.7,3.0
Sweden,Helsingborg,city,56.0465,12.6945,3.8,5.7,4.6,9.6,11.3,1.4,3.4
Sweden,Stockholm,major_city,59.3293,18.0686,5.2,5.8,5.4,7.7,8.3,0.0,5.6
Sweden,Linköping,city,58.4108,15.6214,4.1,5.9,4.8,6.4,8.2,0.0,4.0
Sweden,Västerås,city,59.6099,16.5448,3.9,5.0,4.4,7.7,8.3,0.2,7.8
Sweden,Örebro,city,59.2753,15.2134,2.5,4.1,3.5,6.1,7.3,0.2,7.0
Sweden,Jönköping,city,57.7826,14.1618,3.1,4.5,3.9,5.6,6.9,0.5,6.8
Sweden,Uppsala,city,59.8586,17.6389,4.4,5.4,4.8,7.5,8.3,0.5,7.4
Sweden,Luleå,hydro_region,65.5848,22.1547,1.8,2.0,1.9,3.5,4.3,3.6999999999999997,8.0
Sweden,Sundsvall,hydro_region,62.3908,17.3069,2.5,3.6,3.0,1.6,2.4,4.0,8.0
Sweden,Kiruna,hydro_region,67.8558,20.2253,-0.8,-0.2,-0.5,3.7,4.2,0.30000000000000004,8.0
Sweden,Umeå,hydro_region,63.8258,20.263,2.1,2.6,2.4,7.1,8.6,8.4,8.0
Sweden,Öland (Borgholm),wind_region,56.8797,16.6564,4.3,5.9,5.2,7.6,8.3,0.0,2.6
Sweden,Gällivare,hydro_region,67.1355,20.667,-0.2,-0.1,-0.2,3.1,3.4,1.2,8.0
Sweden,Halland (Varberg),wind_region,57.1057,12.2508,3.8,4.8,4.4,12.5,14.6,2.5999999999999996,5.4
Sweden,Skåne (Kristianstad),wind_region,56.0294,14.1567,3.3,5.8,4.6,6.6,7.8,0.2,3.6
Sweden,Östersund,hydro_region,63.1792,14.6357,1.1,1.5,1.3,2.9,3.2,1.8,8.0
Sweden,Gotland (Visby),wind_region,57.6348,18.2948,4.2,5.5,4.9,7.7,9.3,0.0,5.0
Sweden,Blekinge (Karlskrona),wind_region,56.1612,15.5869,4.6,5.6,5.0,8.7,10.1,0.0,6.0
Sweden,Borlänge,industrial,60.4858,15.4371,2.7,3.5,3.2,4.1,5.1,0.4,7.0
Sweden,Sandviken,industrial,60.616,16.7709,3.5,3.9,3.7,4.5,6.1,2.5000000000000004,7.6
Sweden,Trollhättan,industrial,58.2837,12.2886,2.1,3.3,2.7,3.8,4.9,0.0,7.0
Norway,Oslo,major_city,59.9139,10.7522,3.0,4.6,3.5,2.5,2.8,0.0,3.0
Norway,Bergen,major_city,60.3913,5.3221,3.7,4.7,4.3,12.2,12.6,0.8999999999999999,7.8
Norway,Bodø,hydro_region,67.2804,14.4049,3.1,4.3,3.6,5.2,5.5,0.0,5.0
Norway,Tromsø,hydro_region,69.6492,18.9553,-3.0,-0.7,-2.0,1.3,2.1,0.0,5.0
Norway,Kristiansand,hydro_region,58.1599,8.0182,6.0,6.1,6.0,6.8,7.5,0.1,7.8
Norway,Stavanger,major_city,58.97,5.7331,4.9,5.4,5.1,11.1,11.8,0.8,8.0
Norway,Ålesund,hydro_region,62.4722,6.1549,5.2,5.6,5.4,12.7,14.0,1.5,8.0
Norway,Trondheim,major_city,63.4305,10.3951,2.9,4.5,3.6,3.9,5.2,0.5,4.0
Finland,Tampere,major_city,61.4978,23.761,6.2,6.5,6.3,8.8,10.3,0.8,8.0
Finland,Vaasa,wind_region,63.096,21.6158,5.3,5.5,5.4,8.4,9.2,1.7000000000000002,8.0
Finland,Helsinki,major_city,60.1699,24.9384,6.1,6.9,6.5,6.4,7.6,0.0,8.0
Finland,Eurajoki (Olkiluoto),nuclear,61.2351,21.4845,4.0,4.8,4.4,7.8,8.5,0.5,6.4
Finland,Espoo,major_city,60.2055,24.6559,6.8,7.9,7.6,6.3,7.8,0.1,8.0
Finland,Oulu,major_city,65.0121,25.4651,3.9,5.2,4.5,4.8,5.7,3.1999999999999997,8.0
Finland,Lapland (Rovaniemi),wind_region,66.5039,25.7294,1.4,2.6,2.1,3.3,3.7,1.4,8.0
Finland,Turku,major_city,60.4518,22.2666,4.3,5.1,4.7,10.0,11.5,0.3,4.0
Finland,Loviisa,nuclear,60.3681,26.3581,4.4,4.7,4.5,8.1,9.1,0.0,8.0
Denmark,Ringkøbing,wind_region,56.0905,8.244,4.7,5.2,4.9,14.2,14.8,1.1,8.0
Denmark,Esbjerg,wind_region,55.4669,8.4597,4.6,5.1,4.8,11.8,12.7,1.2,3.8
Denmark,Bornholm (Rønne),wind_region,55.1003,14.7005,4.5,5.3,4.9,10.7,11.6,0.0,1.4
Denmark,Copenhagen,major_city,55.6761,12.5683,4.3,6.0,5.0,7.7,8.6,0.6000000000000001,3.2
Denmark,Odense,major_city,55.4038,10.4024,4.2,5.2,4.7,8.6,9.2,0.4,3.2
Denmark,Aarhus,major_city,56.1629,10.2039,4.2,5.1,4.6,9.3,9.8,2.0,7.6
Denmark,Aalborg,major_city,57.0488,9.9187,4.2,5.1,4.9,11.0,11.3,1.8000000000000003,7.2
