Country,Location,Type,Lat,Lon,Temp_Min,Temp_Max,Temp_Avg,Wind_Avg,Wind_Max,Precip_Total,Cloud_Avg
Sweden,Stockholm,major_city,59.3293,18.0686,11.6,12.6,12.2,3.1,4.3,0.2,2.8
Sweden,Jönköping,city,57.7826,14.1618,11.8,16.5,13.5,3.1,4.3,0.0,5.2
Sweden,Uppsala,city,59.8586,17.6389,11.9,13.0,12.5,4.2,5.0,0.1,3.5
Sweden,Västerås,city,59.6099,16.5448,12.1,15.7,13.6,4.4,5.1,0.0,2.5
Sweden,Malmö,major_city,55.605,13.0038,15.9,17.6,16.7,5.3,5.4,0.0,3.7
Sweden,Norrköping,city,58.5877,16.1924,12.1,16.0,13.8,3.9,4.2,0.0,3.0
Sweden,Linköping,city,58.4108,15.6214,10.9,15.5,13.1,3.5,3.9,0.0,3.7
Sweden,Helsingborg,city,56.0465,12.6945,15.5,16.6,16.0,4.4,5.3,0.0,3.0
Sweden,Örebro,city,59.2753,15.2134,11.9,16.2,13.9,3.6,4.3,0.0,3.2
Sweden,Gothenburg,major_city,57.7089,11.9746,13.2,16.0,14.2,2.2,4.1,0.0,3.7
Sweden,Luleå,hydro_region,65.5848,22.1547,9.4,11.8,10.4,3.8,4.2,0.5,4.0
Sweden,Kiruna,hydro_region,67.8558,20.2253,5.2,7.1,6.0,3.6,3.9,0.1,6.0
Sweden,Sundsvall,hydro_region,62.3908,17.3069,9.6,11.7,10.4,6.3,7.1,0.7999999999999999,3.7
Sweden,Umeå,hydro_region,63.8258,20.263,10.5,12.6,11.4,4.1,4.7,0.1,6.0
Sweden,Gällivare,hydro_region,67.1355,20.667,5.8,9.6,7.2,2.2,2.5,0.0,4.2
Sweden,Östersund,hydro_region,63.1792,14.6357,8.7,9.5,9.1,6.8,7.7,0.0,7.7
Sweden,Öland (Borgholm),wind_region,56.8797,16.6564,14.5,18.0,16.1,6.4,7.0,0.0,2.3
Sweden,Gotland (Visby),wind_region,57.6348,18.2948,14.5,15.4,14.9,6.9,8.4,0.30000000000000004,6.3
Sweden,Skåne (Kristianstad),wind_region,56.0294,14.1567,11.9,17.3,14.0,4.1,5.6,0.0,2.8
Sweden,Halland (Varberg),wind_region,57.1057,12.2508,15.7,16.4,16.0,5.7,6.7,0.0,1.3
Sweden,Blekinge (Karlskrona),wind_region,56.1612,15.5869,13.8,18.6,15.8,4.4,4.9,0.0,2.8
Sweden,Borlänge,industrial,60.4858,15.4371,11.0,14.1,12.4,5.4,5.7,0.0,3.5
Sweden,Trollhättan,industrial,58.2837,12.2886,9.8,15.9,12.4,2.0,3.6,0.0,7.0
Sweden,Sandviken,industrial,60.616,16.7709,11.1,13.8,12.2,5.1,5.3,0.0,2.3
Norway,Bergen,major_city,60.3913,5.3221,8.6,13.8,11.0,3.5,5.2,0.0,0.3
Norway,Trondheim,major_city,63.4305,10.3951,9.9,10.4,10.2,4.0,4.5,0.4,8.0
Norway,Stavanger,major_city,58.97,5.7331,11.9,14.1,12.9,5.4,6.4,0.0,0.0
Norway,Ålesund,hydro_region,62.4722,6.1549,9.8,11.1,10.4,1.7,3.1,0.0,5.0
Norway,Tromsø,hydro_region,69.6492,18.9553,7.9,10.2,8.6,1.3,1.8,0.1,7.2
Norway,Oslo,major_city,59.9139,10.7522,11.9,19.3,14.9,2.8,3.7,0.0,1.7
Norway,Bodø,hydro_region,67.2804,14.4049,10.5,12.1,11.3,3.2,3.9,0.0,4.3
Norway,Kristiansand,hydro_region,58.1599,8.0182,13.0,19.0,15.5,3.2,4.0,0.0,0.5
Finland,Turku,major_city,60.4518,22.2666,9.3,11.4,10.2,3.9,4.7,0.7999999999999999,5.3
Finland,Helsinki,major_city,60.1699,24.9384,10.1,11.0,10.5,5.4,5.8,1.2000000000000002,8.0
Finland,Tampere,major_city,61.4978,23.761,9.2,10.1,9.6,3.7,4.8,1.2000000000000002,8.0
Finland,Oulu,major_city,65.0121,25.4651,8.5,11.6,10.2,2.8,3.2,0.1,3.8
Finland,Eurajoki (Olkiluoto),nuclear,61.2351,21.4845,10.9,11.6,11.2,4.4,5.5,1.4,6.8
Finland,Espoo,major_city,60.2055,24.6559,8.9,9.7,9.4,3.3,3.8,1.4000000000000001,7.7
Finland,Lapland (Rovaniemi),wind_region,66.5039,25.7294,8.3,10.6,9.1,2.6,3.1,0.0,6.3
Finland,Loviisa,nuclear,60.3681,26.3581,11.6,13.3,12.3,2.1,3.7,1.0,7.8
Finland,Vaasa,wind_region,63.096,21.6158,10.9,11.8,11.2,4.6,8.0,6.300000000000001,7.8
Denmark,Esbjerg,wind_region,55.4669,8.4597,14.6,15.2,14.9,7.1,7.5,0.0,6.7
Denmark,Odense,major_city,55.4038,10.4024,12.4,16.1,14.0,4.7,6.6,0.0,2.2
Denmark,Copenhagen,major_city,55.6761,12.5683,14.6,17.9,16.2,2.9,3.3,0.1,3.7
Denmark,Bornholm (Rønne),wind_region,55.1003,14.7005,16.1,18.0,17.1,8.2,8.8,0.0,2.2
Denmark,Ringkøbing,wind_region,56.0905,8.244,14.1,14.6,14.3,8.0,8.7,0.0,7.0
Denmark,Aalborg,major_city,57.0488,9.9187,11.6,15.9,13.4,3.2,4.0,0.0,0.7
Denmark,Aarhus,major_city,56.1629,10.2039,11.7,16.6,13.9,4.8,6.5,0.0,1.5
