Country,Location,Type,Lat,Lon,Temp_Min,Temp_Max,Temp_Avg,Wind_Avg,Wind_Max,Precip_Total,Cloud_Avg
Sweden,Örebro,city,59.2753,15.2134,-4.0,-3.4,-3.8,2.9,3.6,0.0,8.0
Sweden,Stockholm,major_city,59.3293,18.0686,-6.2,-5.5,-5.9,1.9,2.4,0.0,7.5
Sweden,Uppsala,city,59.8586,17.6389,-9.1,-6.8,-8.3,2.5,3.7,0.0,8.0
Sweden,Gothenburg,major_city,57.7089,11.9746,-1.4,2.6,0.0,4.8,5.7,0.2,8.0
Sweden,Malmö,major_city,55.605,13.0038,0.1,1.8,0.6,3.1,4.3,0.0,7.8
Sweden,Helsingborg,city,56.0465,12.6945,-0.7,1.3,0.3,4.8,6.4,0.0,7.8
Sweden,Norrköping,city,58.5877,16.1924,-4.2,-3.8,-4.0,2.3,3.9,0.0,7.7
Sweden,Linköping,city,58.4108,15.6214,-4.8,-3.9,-4.4,2.7,4.2,0.0,8.0
Sweden,Jönköping,city,57.7826,14.1618,-4.5,-3.6,-4.0,3.7,5.2,0.0,7.3
Sweden,Västerås,city,59.6099,16.5448,-7.4,-5.7,-6.5,3.2,4.4,0.0,8.0
Sweden,Luleå,hydro_region,65.5848,22.1547,-24.2,-21.9,-23.2,2.7,2.8,0.0,3.3
Sweden,Kiruna,hydro_region,67.8558,20.2253,-25.1,-24.3,-24.7,0.9,1.4,0.0,2.8
Sweden,Umeå,hydro_region,63.8258,20.263,-15.4,-14.1,-15.0,1.5,2.3,0.0,7.7
Sweden,Sundsvall,hydro_region,62.3908,17.3069,-9.0,-4.8,-6.8,3.0,3.9,0.6000000000000001,8.0
Sweden,Gotland (Visby),wind_region,57.6348,18.2948,-7.5,-5.8,-6.9,3.1,3.7,0.0,7.3
Sweden,Öland (Borgholm),wind_region,56.8797,16.6564,-3.8,-3.0,-3.4,3.1,4.8,0.0,5.2
Sweden,Östersund,hydro_region,63.1792,14.6357,-6.8,-6.1,-6.4,6.3,7.0,1.9,8.0
Sweden,Halland (Varberg),wind_region,57.1057,12.2508,-0.5,4.4,1.7,6.2,8.9,0.1,7.5
Sweden,Skåne (Kristianstad),wind_region,56.0294,14.1567,-5.3,-3.7,-4.6,1.7,3.2,0.0,6.0
Sweden,Gällivare,hydro_region,67.1355,20.667,-26.4,-25.7,-26.2,0.8,1.3,0.0,4.5
Sweden,Blekinge (Karlskrona),wind_region,56.1612,15.5869,-3.5,-1.4,-2.8,2.0,2.4,0.0,4.5
Sweden,Borlänge,industrial,60.4858,15.4371,-5.0,-4.4,-4.6,2.8,3.4,0.4,8.0
Sweden,Sandviken,industrial,60.616,16.7709,-7.1,-5.9,-6.6,3.5,4.4,0.1,8.0
Sweden,Trollhättan,industrial,58.2837,12.2886,-4.1,-0.5,-2.4,3.7,4.8,0.0,8.0
Norway,Trondheim,major_city,63.4305,10.3951,1.5,1.9,1.7,3.4,3.7,1.7000000000000002,8.0
Norway,Ålesund,hydro_region,62.4722,6.1549,3.4,5.5,4.7,8.3,10.4,6.800000000000001,8.0
Norway,Bodø,hydro_region,67.2804,14.4049,-7.1,-5.9,-6.4,9.5,9.8,0.0,8.0
Norway,Oslo,major_city,59.9139,10.7522,-2.8,0.3,-1.3,2.7,3.7,0.0,8.0
Norway,Tromsø,hydro_region,69.6492,18.9553,-10.7,-8.7,-10.0,3.4,3.9,0.0,1.3
Norway,Bergen,major_city,60.3913,5.3221,2.0,5.2,3.6,3.9,7.6,7.999999999999999,8.0
Norway,Stavanger,major_city,58.97,5.7331,5.8,6.9,6.4,7.7,9.6,3.6,8.0
Norway,Kristiansand,hydro_region,58.1599,8.0182,-0.7,4.2,1.4,3.0,4.9,0.8,8.0
Finland,Vaasa,wind_region,63.096,21.6158,-8.1,-6.5,-7.4,1.5,1.9,0.0,4.2
Finland,Espoo,major_city,60.2055,24.6559,-14.9,-13.7,-14.4,2.0,2.2,0.0,0.7
Finland,Oulu,major_city,65.0121,25.4651,-20.2,-18.6,-19.1,2.4,2.8,0.0,1.0
Finland,Lapland (Rovaniemi),wind_region,66.5039,25.7294,-28.3,-26.8,-27.8,1.3,1.7,0.0,1.7
Finland,Helsinki,major_city,60.1699,24.9384,-12.8,-11.5,-12.2,3.7,4.0,0.0,0.7
Finland,Turku,major_city,60.4518,22.2666,-13.4,-11.6,-12.8,1.6,2.1,0.0,3.3
Finland,Eurajoki (Olkiluoto),nuclear,61.2351,21.4845,-12.0,-11.2,-11.7,1.5,2.1,0.0,4.2
Finland,Tampere,major_city,61.4978,23.761,-13.8,-11.8,-12.8,2.3,3.0,0.0,1.5
Finland,Loviisa,nuclear,60.3681,26.3581,-10.3,-10.1,-10.2,5.3,5.6,0.0,0.0
Denmark,Aarhus,major_city,56.1629,10.2039,2.1,4.2,3.1,3.6,4.6,0.30000000000000004,7.5
Denmark,Aalborg,major_city,57.0488,9.9187,1.4,3.6,2.5,4.2,5.2,0.5,7.7
Denmark,Bornholm (Rønne),wind_region,55.1003,14.7005,0.7,1.9,1.0,1.9,4.3,0.0,5.0
Denmark,Esbjerg,wind_region,55.4669,8.4597,5.8,6.3,6.1,8.1,10.3,0.7,8.0
Denmark,Odense,major_city,55.4038,10.4024,2.7,4.9,3.6,4.4,5.7,0.1,7.7
Denmark,Copenhagen,major_city,55.6761,12.5683,0.4,1.9,1.0,2.6,4.0,0.0,7.7
Denmark,Ringkøbing,wind_region,56.0905,8.244,6.4,6.8,6.6,9.3,11.9,1.4000000000000001,7.8
