Country,Location,Type,Lat,Lon,Temp_Min,Temp_Max,Temp_Avg,Wind_Avg,Wind_Max,Precip_Total,Cloud_Avg
Sweden,Malmö,major_city,55.605,13.0038,6.0,6.5,6.2,6.9,7.8,0.30000000000000004,8.0
Sweden,Helsingborg,city,56.0465,12.6945,5.8,6.7,6.4,6.8,7.8,2.5,8.0
Sweden,Stockholm,major_city,59.3293,18.0686,5.0,8.9,6.9,4.8,5.9,4.1000000000000005,8.0
Sweden,Jönköping,city,57.7826,14.1618,6.5,8.2,7.7,5.9,6.7,0.9999999999999999,8.0
Sweden,Linköping,city,58.4108,15.6214,5.5,8.6,7.6,5.4,7.2,1.3,8.0
Sweden,Norrköping,city,58.5877,16.1924,5.9,8.8,7.7,5.6,7.5,1.0000000000000002,8.0
Sweden,Örebro,city,59.2753,15.2134,6.1,8.8,7.9,5.6,7.2,2.0,8.0
Sweden,Västerås,city,59.6099,16.5448,4.7,8.4,6.8,4.7,6.9,1.6000000000000003,8.0
Sweden,Gothenburg,major_city,57.7089,11.9746,7.5,8.5,8.2,7.4,8.8,6.4,8.0
Sweden,Uppsala,city,59.8586,17.6389,4.2,8.2,6.3,4.4,5.6,3.1,8.0
Sweden,Luleå,hydro_region,65.5848,22.1547,-0.7,0.2,-0.0,6.4,8.8,8.499999999999998,8.0
Sweden,Kiruna,hydro_region,67.8558,20.2253,-8.4,-3.3,-5.8,5.1,6.1,4.299999999999999,8.0
Sweden,Umeå,hydro_region,63.8258,20.263,-1.4,3.0,1.3,4.7,9.4,10.699999999999998,7.9
Sweden,Östersund,hydro_region,63.1792,14.6357,-2.2,2.2,-0.0,3.4,5.6,2.6,6.4
Sweden,Halland (Varberg),wind_region,57.1057,12.2508,7.2,7.8,7.5,9.2,10.7,5.1000000000000005,8.0
Sweden,Sundsvall,hydro_region,62.3908,17.3069,-1.2,1.4,0.2,1.9,3.0,3.6,6.9
Sweden,Öland (Borgholm),wind_region,56.8797,16.6564,5.7,7.2,6.6,7.2,8.6,1.2,8.0
Sweden,Gällivare,hydro_region,67.1355,20.667,-7.7,-3.0,-4.6,2.6,3.6,6.7,8.0
Sweden,Gotland (Visby),wind_region,57.6348,18.2948,6.1,7.8,6.9,6.9,8.4,6.0,8.0
Sweden,Skåne (Kristianstad),wind_region,56.0294,14.1567,6.0,6.7,6.3,5.5,6.6,0.0,8.0
Sweden,Blekinge (Karlskrona),wind_region,56.1612,15.5869,6.3,6.7,6.6,9.9,11.0,0.2,8.0
Sweden,Borlänge,industrial,60.4858,15.4371,3.2,8.0,6.0,2.9,5.1,0.9999999999999999,8.0
Sweden,Sandviken,industrial,60.616,16.7709,2.6,6.4,5.3,3.6,4.7,1.9000000000000001,7.8
Sweden,Trollhättan,industrial,58.2837,12.2886,7.0,8.5,8.0,6.3,7.1,7.1000000000000005,8.0
Norway,Kristiansand,hydro_region,58.1599,8.0182,8.7,9.2,9.0,6.4,8.7,7.300000000000001,8.0
Norway,Tromsø,hydro_region,69.6492,18.9553,-2.1,2.9,0.3,8.6,9.9,3.2,7.2
Norway,Bergen,major_city,60.3913,5.3221,9.2,10.0,9.6,7.4,10.5,18.1,8.0
Norway,Stavanger,major_city,58.97,5.7331,9.4,10.0,9.7,7.8,10.3,19.499999999999996,8.0
Norway,Bodø,hydro_region,67.2804,14.4049,0.9,6.6,3.3,7.7,12.0,6.499999999999999,7.8
Norway,Ålesund,hydro_region,62.4722,6.1549,9.9,11.6,10.7,7.7,11.4,2.7000000000000006,7.4
Norway,Trondheim,major_city,63.4305,10.3951,3.6,6.9,5.6,3.1,6.7,1.5000000000000002,6.4
Norway,Oslo,major_city,59.9139,10.7522,6.1,8.1,7.0,3.4,6.0,0.9,7.4
Finland,Helsinki,major_city,60.1699,24.9384,-0.5,4.7,1.4,6.4,8.0,4.6,8.0
Finland,Loviisa,nuclear,60.3681,26.3581,-0.4,2.4,0.3,8.0,9.1,4.4,7.8
Finland,Tampere,major_city,61.4978,23.761,-3.4,1.1,-1.1,4.6,5.7,4.8999999999999995,8.0
Finland,Turku,major_city,60.4518,22.2666,-0.7,4.8,2.5,4.8,6.6,5.0,8.0
Finland,Vaasa,wind_region,63.096,21.6158,-1.9,1.1,-0.4,5.4,7.3,4.6000000000000005,8.0
Finland,Lapland (Rovaniemi),wind_region,66.5039,25.7294,-9.4,-6.7,-7.9,3.2,3.8,4.3,8.0
Finland,Eurajoki (Olkiluoto),nuclear,61.2351,21.4845,-1.1,4.8,2.0,4.5,6.0,4.0,8.0
Finland,Espoo,major_city,60.2055,24.6559,-1.2,2.5,0.5,3.7,4.7,4.900000000000001,8.0
Finland,Oulu,major_city,65.0121,25.4651,-6.5,-3.0,-4.4,6.6,7.3,4.300000000000001,8.0
Denmark,Esbjerg,wind_region,55.4669,8.4597,7.8,8.6,8.1,10.4,11.0,0.0,8.0
Denmark,Copenhagen,major_city,55.6761,12.5683,6.0,6.4,6.2,6.1,7.3,0.4,8.0
Denmark,Odense,major_city,55.4038,10.4024,6.2,7.3,6.8,8.4,9.4,0.0,8.0
Denmark,Aalborg,major_city,57.0488,9.9187,8.4,9.0,8.8,8.1,9.6,0.9999999999999999,8.0
Denmark,Ringkøbing,wind_region,56.0905,8.244,8.5,9.1,8.8,11.9,13.6,0.30000000000000004,8.0
Denmark,Aarhus,major_city,56.1629,10.2039,7.3,9.0,8.2,7.8,8.7,0.0,8.0
Denmark,Bornholm (Rønne),wind_region,55.1003,14.7005,6.5,7.2,6.7,11.0,12.0,0.0,8.0
