Country,Location,Type,Lat,Lon,Temp_Min,Temp_Max,Temp_Avg,Wind_Avg,Wind_Max,Precip_Total,Cloud_Avg
Sweden,Norrköping,city,58.5877,16.1924,15.4,18.8,16.8,7.4,7.8,0.0,5.2
Sweden,Gothenburg,major_city,57.7089,11.9746,15.8,16.4,16.1,9.2,9.9,0.7,8.0
Sweden,Helsingborg,city,56.0465,12.6945,15.4,17.1,16.3,7.3,8.2,0.7,5.3
Sweden,Örebro,city,59.2753,15.2134,15.6,16.9,16.1,7.6,8.0,0.0,8.0
Sweden,Stockholm,major_city,59.3293,18.0686,16.0,19.6,17.5,6.5,6.8,0.0,2.2
Sweden,Malmö,major_city,55.605,13.0038,15.2,18.2,16.4,7.8,8.9,0.0,1.7
Sweden,Uppsala,city,59.8586,17.6389,15.6,19.1,17.2,7.1,7.5,0.0,6.3
Sweden,Linköping,city,58.4108,15.6214,14.4,17.4,15.5,6.7,7.1,0.0,4.7
Sweden,Jönköping,city,57.7826,14.1618,13.5,16.0,14.5,6.1,6.6,0.5,5.2
Sweden,Västerås,city,59.6099,16.5448,15.3,17.3,16.2,7.6,8.1,0.1,8.0
Sweden,Luleå,hydro_region,65.5848,22.1547,15.6,15.9,15.8,4.4,5.9,2.2,7.2
Sweden,Kiruna,hydro_region,67.8558,20.2253,13.2,15.3,14.0,4.9,6.1,4.6,8.0
Sweden,Sundsvall,hydro_region,62.3908,17.3069,14.5,17.4,15.8,4.6,5.2,0.4,6.7
Sweden,Gotland (Visby),wind_region,57.6348,18.2948,16.5,19.3,17.8,9.2,10.4,0.1,0.8
Sweden,Umeå,hydro_region,63.8258,20.263,16.4,17.5,17.1,5.9,6.5,1.6,5.5
Sweden,Östersund,hydro_region,63.1792,14.6357,12.4,14.5,13.2,6.0,6.5,0.8,8.0
Sweden,Skåne (Kristianstad),wind_region,56.0294,14.1567,13.8,17.4,15.2,4.8,7.0,0.30000000000000004,1.2
Sweden,Gällivare,hydro_region,67.1355,20.667,13.6,15.2,14.5,3.2,3.7,4.7,8.0
Sweden,Halland (Varberg),wind_region,57.1057,12.2508,16.1,17.0,16.4,12.0,12.8,0.1,7.5
Sweden,Öland (Borgholm),wind_region,56.8797,16.6564,15.9,19.6,17.6,8.5,9.0,0.0,0.5
Sweden,Blekinge (Karlskrona),wind_region,56.1612,15.5869,16.3,19.2,17.6,9.7,10.5,0.0,0.5
Sweden,Borlänge,industrial,60.4858,15.4371,13.7,15.3,14.4,5.4,6.0,0.2,7.5
Sweden,Sandviken,industrial,60.616,16.7709,14.8,17.7,16.0,7.6,8.6,0.1,8.0
Sweden,Trollhättan,industrial,58.2837,12.2886,14.9,15.6,15.2,7.1,8.2,0.0,7.3
Norway,Bergen,major_city,60.3913,5.3221,11.3,12.4,11.9,7.0,8.5,7.5,8.0
Norway,Ålesund,hydro_region,62.4722,6.1549,13.0,14.4,13.9,13.5,15.3,12.4,8.0
Norway,Tromsø,hydro_region,69.6492,18.9553,19.0,21.9,20.4,7.2,9.4,0.6,5.3
Norway,Bodø,hydro_region,67.2804,14.4049,17.2,19.5,18.3,5.5,6.7,0.0,4.3
Norway,Trondheim,major_city,63.4305,10.3951,13.3,16.5,14.7,2.1,4.2,2.4000000000000004,7.8
Norway,Stavanger,major_city,58.97,5.7331,13.5,14.1,13.9,9.1,9.6,2.9,8.0
Norway,Kristiansand,hydro_region,58.1599,8.0182,13.0,14.7,13.6,6.0,7.1,0.4,7.8
Norway,Oslo,major_city,59.9139,10.7522,15.3,18.0,16.4,7.9,8.8,0.0,7.8
Finland,Espoo,major_city,60.2055,24.6559,15.9,17.9,16.9,3.3,5.2,1.0,5.2
Finland,Turku,major_city,60.4518,22.2666,16.7,18.2,17.2,4.2,4.9,0.0,0.3
Finland,Lapland (Rovaniemi),wind_region,66.5039,25.7294,16.7,22.6,18.3,3.0,4.6,6.9,8.0
Finland,Vaasa,wind_region,63.096,21.6158,16.0,18.0,16.6,4.6,6.3,1.0,2.7
Finland,Helsinki,major_city,60.1699,24.9384,18.3,18.8,18.6,7.4,8.2,0.7000000000000001,6.2
Finland,Eurajoki (Olkiluoto),nuclear,61.2351,21.4845,15.7,18.7,16.9,3.6,4.4,0.0,1.7
Finland,Tampere,major_city,61.4978,23.761,14.8,16.9,16.0,4.0,4.4,0.0,1.8
Finland,Loviisa,nuclear,60.3681,26.3581,19.2,20.0,19.4,9.7,10.4,0.6,8.0
Finland,Oulu,major_city,65.0121,25.4651,16.4,19.1,17.6,3.5,4.5,4.1000000000000005,8.0
Denmark,Esbjerg,wind_region,55.4669,8.4597,15.3,16.3,15.8,10.1,11.0,1.2,6.2
Denmark,Copenhagen,major_city,55.6761,12.5683,14.4,17.8,15.8,5.6,7.1,0.1,1.7
Denmark,Aalborg,major_city,57.0488,9.9187,13.9,15.0,14.2,7.3,8.1,0.5,6.5
Denmark,Bornholm (Rønne),wind_region,55.1003,14.7005,16.3,18.9,17.7,10.8,11.3,0.4,4.5
Denmark,Ringkøbing,wind_region,56.0905,8.244,15.1,15.7,15.4,11.7,12.3,0.7000000000000001,7.0
Denmark,Odense,major_city,55.4038,10.4024,13.2,16.2,14.4,5.3,5.9,0.2,3.3
Denmark,Aarhus,major_city,56.1629,10.2039,13.1,16.3,14.4,6.0,7.1,0.2,4.2
