Country,Location,Type,Lat,Lon,Temp_Min,Temp_Max,Temp_Avg,Wind_Avg,Wind_Max,Precip_Total,Cloud_Avg
Sweden,Jönköping,city,57.7826,14.1618,-4.4,-2.7,-3.2,4.8,6.1,0.0,8.0
Sweden,Norrköping,city,58.5877,16.1924,-5.1,-3.7,-4.6,6.1,6.7,0.0,8.0
Sweden,Västerås,city,59.6099,16.5448,-8.6,-5.8,-6.9,4.8,5.7,0.0,7.8
Sweden,Linköping,city,58.4108,15.6214,-5.5,-3.7,-4.7,5.6,6.4,0.1,8.0
Sweden,Stockholm,major_city,59.3293,18.0686,-5.5,-4.1,-4.9,5.0,6.0,0.1,8.0
Sweden,Gothenburg,major_city,57.7089,11.9746,-4.6,-1.2,-2.7,7.2,8.2,0.1,6.5
Sweden,Örebro,city,59.2753,15.2134,-7.8,-5.9,-6.8,5.1,5.5,0.0,8.0
Sweden,Uppsala,city,59.8586,17.6389,-8.9,-5.7,-7.0,4.0,4.5,0.0,7.3
Sweden,Helsingborg,city,56.0465,12.6945,-3.4,-1.0,-1.7,6.8,7.5,6.3999999999999995,8.0
Sweden,Malmö,major_city,55.605,13.0038,-1.3,0.2,-0.5,9.1,10.1,5.6000000000000005,8.0
Sweden,Luleå,hydro_region,65.5848,22.1547,-24.5,-19.0,-20.5,1.7,2.4,0.0,5.4
Sweden,Kiruna,hydro_region,67.8558,20.2253,-14.7,-9.4,-11.7,2.1,3.3,0.0,5.8
Sweden,Sundsvall,hydro_region,62.3908,17.3069,-17.5,-10.7,-13.2,2.3,2.9,0.0,8.0
Sweden,Umeå,hydro_region,63.8258,20.263,-22.9,-15.2,-20.1,1.4,1.8,0.0,0.0
Sweden,Östersund,hydro_region,63.1792,14.6357,-24.0,-15.3,-20.5,2.4,3.2,0.0,0.1
Sweden,Gällivare,hydro_region,67.1355,20.667,-12.9,-9.4,-10.9,2.9,4.1,0.0,4.9
Sweden,Öland (Borgholm),wind_region,56.8797,16.6564,-2.8,-1.6,-2.1,8.6,9.3,1.4,8.0
Sweden,Skåne (Kristianstad),wind_region,56.0294,14.1567,-3.3,-1.4,-2.1,6.6,7.4,4.9,8.0
Sweden,Halland (Varberg),wind_region,57.1057,12.2508,-3.8,-1.3,-2.1,7.6,8.6,1.3,7.4
Sweden,Gotland (Visby),wind_region,57.6348,18.2948,-6.0,-3.1,-3.7,5.7,6.1,0.0,7.0
Sweden,Blekinge (Karlskrona),wind_region,56.1612,15.5869,-2.4,-0.9,-1.7,10.2,10.8,3.6999999999999997,8.0
Sweden,Borlänge,industrial,60.4858,15.4371,-9.6,-7.7,-8.5,2.1,3.2,0.0,7.9
Sweden,Sandviken,industrial,60.616,16.7709,-9.4,-6.8,-7.7,2.7,4.1,0.0,7.8
Sweden,Trollhättan,industrial,58.2837,12.2886,-5.0,-3.9,-4.5,5.9,6.8,0.0,8.0
Norway,Oslo,major_city,59.9139,10.7522,-8.9,-6.1,-7.7,4.7,5.4,0.0,3.2
Norway,Tromsø,hydro_region,69.6492,18.9553,-2.1,0.0,-0.9,2.7,6.2,1.3,7.7
Norway,Trondheim,major_city,63.4305,10.3951,-13.5,-5.5,-10.4,1.7,3.3,0.0,0.0
Norway,Kristiansand,hydro_region,58.1599,8.0182,-6.9,-6.1,-6.4,8.8,9.2,0.30000000000000004,8.0
Norway,Bodø,hydro_region,67.2804,14.4049,-5.2,-3.2,-4.2,4.3,5.0,0.0,1.5
Norway,Ålesund,hydro_region,62.4722,6.1549,-4.1,0.8,-2.2,1.3,2.3,0.0,1.4
Norway,Stavanger,major_city,58.97,5.7331,-2.2,1.1,-0.4,3.4,5.9,0.0,4.8
Norway,Bergen,major_city,60.3913,5.3221,-6.1,-1.2,-4.1,0.8,1.8,0.0,1.6
Finland,Espoo,major_city,60.2055,24.6559,-17.4,-11.2,-14.6,2.6,3.3,0.0,0.9
Finland,Vaasa,wind_region,63.096,21.6158,-16.4,-9.2,-13.8,1.7,2.3,0.0,2.5
Finland,Turku,major_city,60.4518,22.2666,-15.9,-9.8,-12.7,3.6,4.0,0.0,1.5
Finland,Helsinki,major_city,60.1699,24.9384,-14.3,-11.2,-12.5,4.0,4.7,0.0,1.0
Finland,Lapland (Rovaniemi),wind_region,66.5039,25.7294,-21.7,-14.8,-17.2,1.4,2.2,0.1,7.9
Finland,Loviisa,nuclear,60.3681,26.3581,-16.8,-12.4,-14.6,2.3,2.8,0.0,1.5
Finland,Oulu,major_city,65.0121,25.4651,-20.8,-14.7,-17.2,2.0,2.5,0.0,5.4
Finland,Tampere,major_city,61.4978,23.761,-19.1,-12.1,-15.7,1.3,1.7,0.0,0.9
Finland,Eurajoki (Olkiluoto),nuclear,61.2351,21.4845,-16.0,-10.3,-13.4,2.6,3.2,0.0,0.8
Denmark,Aarhus,major_city,56.1629,10.2039,-2.0,-0.9,-1.3,7.9,8.6,5.9,8.0
Denmark,Copenhagen,major_city,55.6761,12.5683,-2.2,0.1,-0.9,7.9,8.8,8.3,8.0
Denmark,Aalborg,major_city,57.0488,9.9187,-3.7,-1.7,-2.4,6.9,7.5,2.7,8.0
Denmark,Bornholm (Rønne),wind_region,55.1003,14.7005,-1.4,-0.0,-0.4,8.0,9.1,3.0000000000000004,8.0
Denmark,Esbjerg,wind_region,55.4669,8.4597,-1.7,-0.6,-0.9,10.3,11.0,1.9000000000000001,8.0
Denmark,Odense,major_city,55.4038,10.4024,-1.6,-0.1,-0.8,7.0,7.7,7.400000000000002,8.0
Denmark,Ringkøbing,wind_region,56.0905,8.244,-2.7,-1.1,-1.7,9.8,10.3,2.1000000000000005,8.0
